datetime_beginning_utc,datetime_beginning_ept,ancillary_service,unit,value,row_is_current,version_nbr
9/1/2024 4:00:00 AM,9/1/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/1/2024 5:00:00 AM,9/1/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/1/2024 6:00:00 AM,9/1/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/1/2024 7:00:00 AM,9/1/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/1/2024 8:00:00 AM,9/1/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/1/2024 9:00:00 AM,9/1/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/1/2024 10:00:00 AM,9/1/2024 6:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/1/2024 11:00:00 AM,9/1/2024 7:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/1/2024 12:00:00 PM,9/1/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/1/2024 1:00:00 PM,9/1/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/1/2024 2:00:00 PM,9/1/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/1/2024 3:00:00 PM,9/1/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/1/2024 4:00:00 PM,9/1/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/1/2024 5:00:00 PM,9/1/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/1/2024 6:00:00 PM,9/1/2024 2:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/1/2024 7:00:00 PM,9/1/2024 3:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/1/2024 8:00:00 PM,9/1/2024 4:00:00 PM,RTO Synchronized Reserve,Price,0.470000,True,1
9/1/2024 9:00:00 PM,9/1/2024 5:00:00 PM,RTO Synchronized Reserve,Price,2.430000,True,1
9/1/2024 10:00:00 PM,9/1/2024 6:00:00 PM,RTO Synchronized Reserve,Price,0.830000,True,1
9/1/2024 11:00:00 PM,9/1/2024 7:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/2/2024 12:00:00 AM,9/1/2024 8:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 1:00:00 AM,9/1/2024 9:00:00 PM,RTO Synchronized Reserve,Price,1.580000,True,1
9/2/2024 2:00:00 AM,9/1/2024 10:00:00 PM,RTO Synchronized Reserve,Price,1.640000,True,1
9/2/2024 3:00:00 AM,9/1/2024 11:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/2/2024 4:00:00 AM,9/2/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/2/2024 5:00:00 AM,9/2/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/2/2024 6:00:00 AM,9/2/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 7:00:00 AM,9/2/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 8:00:00 AM,9/2/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/2/2024 9:00:00 AM,9/2/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/2/2024 10:00:00 AM,9/2/2024 6:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/2/2024 11:00:00 AM,9/2/2024 7:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 12:00:00 PM,9/2/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 1:00:00 PM,9/2/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 2:00:00 PM,9/2/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 3:00:00 PM,9/2/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 4:00:00 PM,9/2/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/2/2024 5:00:00 PM,9/2/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/2/2024 6:00:00 PM,9/2/2024 2:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/2/2024 7:00:00 PM,9/2/2024 3:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/2/2024 8:00:00 PM,9/2/2024 4:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/2/2024 9:00:00 PM,9/2/2024 5:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/2/2024 10:00:00 PM,9/2/2024 6:00:00 PM,RTO Synchronized Reserve,Price,1.160000,True,1
9/2/2024 11:00:00 PM,9/2/2024 7:00:00 PM,RTO Synchronized Reserve,Price,2.320000,True,1
9/3/2024 12:00:00 AM,9/2/2024 8:00:00 PM,RTO Synchronized Reserve,Price,0.870000,True,1
9/3/2024 1:00:00 AM,9/2/2024 9:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/3/2024 2:00:00 AM,9/2/2024 10:00:00 PM,RTO Synchronized Reserve,Price,0.000000,True,1
9/3/2024 3:00:00 AM,9/2/2024 11:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/3/2024 4:00:00 AM,9/3/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/3/2024 5:00:00 AM,9/3/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/3/2024 6:00:00 AM,9/3/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/3/2024 7:00:00 AM,9/3/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.000000,True,1
9/3/2024 8:00:00 AM,9/3/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.000000,True,1
9/3/2024 9:00:00 AM,9/3/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/3/2024 10:00:00 AM,9/3/2024 6:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/3/2024 11:00:00 AM,9/3/2024 7:00:00 AM,RTO Synchronized Reserve,Price,2.260000,True,1
9/3/2024 12:00:00 PM,9/3/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/3/2024 1:00:00 PM,9/3/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.000000,True,1
9/3/2024 2:00:00 PM,9/3/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/3/2024 3:00:00 PM,9/3/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/3/2024 4:00:00 PM,9/3/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/3/2024 5:00:00 PM,9/3/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/3/2024 6:00:00 PM,9/3/2024 2:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/3/2024 7:00:00 PM,9/3/2024 3:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/3/2024 8:00:00 PM,9/3/2024 4:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/3/2024 9:00:00 PM,9/3/2024 5:00:00 PM,RTO Synchronized Reserve,Price,4.870000,True,1
9/3/2024 10:00:00 PM,9/3/2024 6:00:00 PM,RTO Synchronized Reserve,Price,32.290000,True,1
9/3/2024 11:00:00 PM,9/3/2024 7:00:00 PM,RTO Synchronized Reserve,Price,0.260000,True,1
9/4/2024 12:00:00 AM,9/3/2024 8:00:00 PM,RTO Synchronized Reserve,Price,2.810000,True,1
9/4/2024 1:00:00 AM,9/3/2024 9:00:00 PM,RTO Synchronized Reserve,Price,2.280000,True,1
9/4/2024 2:00:00 AM,9/3/2024 10:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/4/2024 3:00:00 AM,9/3/2024 11:00:00 PM,RTO Synchronized Reserve,Price,0.000000,True,1
9/4/2024 4:00:00 AM,9/4/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/4/2024 5:00:00 AM,9/4/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/4/2024 6:00:00 AM,9/4/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/4/2024 7:00:00 AM,9/4/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/4/2024 8:00:00 AM,9/4/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/4/2024 9:00:00 AM,9/4/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.280000,True,1
9/4/2024 10:00:00 AM,9/4/2024 6:00:00 AM,RTO Synchronized Reserve,Price,71.290000,True,1
9/4/2024 11:00:00 AM,9/4/2024 7:00:00 AM,RTO Synchronized Reserve,Price,0.920000,True,1
9/4/2024 12:00:00 PM,9/4/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.000000,True,1
9/4/2024 1:00:00 PM,9/4/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/4/2024 2:00:00 PM,9/4/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/4/2024 3:00:00 PM,9/4/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/4/2024 4:00:00 PM,9/4/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/4/2024 5:00:00 PM,9/4/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/4/2024 6:00:00 PM,9/4/2024 2:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/4/2024 7:00:00 PM,9/4/2024 3:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/4/2024 8:00:00 PM,9/4/2024 4:00:00 PM,RTO Synchronized Reserve,Price,6.040000,True,1
9/4/2024 9:00:00 PM,9/4/2024 5:00:00 PM,RTO Synchronized Reserve,Price,16.400000,True,1
9/4/2024 10:00:00 PM,9/4/2024 6:00:00 PM,RTO Synchronized Reserve,Price,19.730000,True,1
9/4/2024 11:00:00 PM,9/4/2024 7:00:00 PM,RTO Synchronized Reserve,Price,18.440000,True,1
9/5/2024 12:00:00 AM,9/4/2024 8:00:00 PM,RTO Synchronized Reserve,Price,19.420000,True,1
9/5/2024 1:00:00 AM,9/4/2024 9:00:00 PM,RTO Synchronized Reserve,Price,3.460000,True,1
9/5/2024 2:00:00 AM,9/4/2024 10:00:00 PM,RTO Synchronized Reserve,Price,7.140000,True,1
9/5/2024 3:00:00 AM,9/4/2024 11:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/5/2024 4:00:00 AM,9/5/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/5/2024 5:00:00 AM,9/5/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/5/2024 6:00:00 AM,9/5/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/5/2024 7:00:00 AM,9/5/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/5/2024 8:00:00 AM,9/5/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/5/2024 9:00:00 AM,9/5/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/5/2024 10:00:00 AM,9/5/2024 6:00:00 AM,RTO Synchronized Reserve,Price,11.220000,True,1
9/5/2024 11:00:00 AM,9/5/2024 7:00:00 AM,RTO Synchronized Reserve,Price,3.610000,True,1
9/5/2024 12:00:00 PM,9/5/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/5/2024 1:00:00 PM,9/5/2024 9:00:00 AM,RTO Synchronized Reserve,Price,3.960000,True,1
9/5/2024 2:00:00 PM,9/5/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/5/2024 3:00:00 PM,9/5/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/5/2024 4:00:00 PM,9/5/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/5/2024 5:00:00 PM,9/5/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/5/2024 6:00:00 PM,9/5/2024 2:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/5/2024 7:00:00 PM,9/5/2024 3:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/5/2024 8:00:00 PM,9/5/2024 4:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/5/2024 9:00:00 PM,9/5/2024 5:00:00 PM,RTO Synchronized Reserve,Price,0.160000,True,1
9/5/2024 10:00:00 PM,9/5/2024 6:00:00 PM,RTO Synchronized Reserve,Price,3.310000,True,1
9/5/2024 11:00:00 PM,9/5/2024 7:00:00 PM,RTO Synchronized Reserve,Price,0.460000,True,1
9/6/2024 12:00:00 AM,9/5/2024 8:00:00 PM,RTO Synchronized Reserve,Price,19.520000,True,1
9/6/2024 1:00:00 AM,9/5/2024 9:00:00 PM,RTO Synchronized Reserve,Price,3.350000,True,1
9/6/2024 2:00:00 AM,9/5/2024 10:00:00 PM,RTO Synchronized Reserve,Price,23.400000,True,1
9/6/2024 3:00:00 AM,9/5/2024 11:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 4:00:00 AM,9/6/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 5:00:00 AM,9/6/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/6/2024 6:00:00 AM,9/6/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/6/2024 7:00:00 AM,9/6/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/6/2024 8:00:00 AM,9/6/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/6/2024 9:00:00 AM,9/6/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 10:00:00 AM,9/6/2024 6:00:00 AM,RTO Synchronized Reserve,Price,5.670000,True,1
9/6/2024 11:00:00 AM,9/6/2024 7:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 12:00:00 PM,9/6/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 1:00:00 PM,9/6/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/6/2024 2:00:00 PM,9/6/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.000000,True,1
9/6/2024 3:00:00 PM,9/6/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 4:00:00 PM,9/6/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 5:00:00 PM,9/6/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 6:00:00 PM,9/6/2024 2:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 7:00:00 PM,9/6/2024 3:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 8:00:00 PM,9/6/2024 4:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/6/2024 9:00:00 PM,9/6/2024 5:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 10:00:00 PM,9/6/2024 6:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 11:00:00 PM,9/6/2024 7:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/7/2024 12:00:00 AM,9/6/2024 8:00:00 PM,RTO Synchronized Reserve,Price,0.300000,True,1
9/7/2024 1:00:00 AM,9/6/2024 9:00:00 PM,RTO Synchronized Reserve,Price,3.910000,True,1
9/7/2024 2:00:00 AM,9/6/2024 10:00:00 PM,RTO Synchronized Reserve,Price,25.130000,True,1
9/7/2024 3:00:00 AM,9/6/2024 11:00:00 PM,RTO Synchronized Reserve,Price,7.450000,True,1
9/7/2024 4:00:00 AM,9/7/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/7/2024 5:00:00 AM,9/7/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 6:00:00 AM,9/7/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 7:00:00 AM,9/7/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 8:00:00 AM,9/7/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 9:00:00 AM,9/7/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/7/2024 10:00:00 AM,9/7/2024 6:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 11:00:00 AM,9/7/2024 7:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/7/2024 12:00:00 PM,9/7/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/7/2024 1:00:00 PM,9/7/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 2:00:00 PM,9/7/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 3:00:00 PM,9/7/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/7/2024 4:00:00 PM,9/7/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/7/2024 5:00:00 PM,9/7/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/7/2024 6:00:00 PM,9/7/2024 2:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/7/2024 7:00:00 PM,9/7/2024 3:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 8:00:00 PM,9/7/2024 4:00:00 PM,RTO Synchronized Reserve,Price,0.000000,True,1
9/7/2024 9:00:00 PM,9/7/2024 5:00:00 PM,RTO Synchronized Reserve,Price,0.000000,True,1
9/7/2024 10:00:00 PM,9/7/2024 6:00:00 PM,RTO Synchronized Reserve,Price,1.280000,True,1
9/7/2024 11:00:00 PM,9/7/2024 7:00:00 PM,RTO Synchronized Reserve,Price,10.290000,True,1
9/8/2024 12:00:00 AM,9/7/2024 8:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 1:00:00 AM,9/7/2024 9:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 2:00:00 AM,9/7/2024 10:00:00 PM,RTO Synchronized Reserve,Price,0.020000,True,1
9/8/2024 3:00:00 AM,9/7/2024 11:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 4:00:00 AM,9/8/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 5:00:00 AM,9/8/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 6:00:00 AM,9/8/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 7:00:00 AM,9/8/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 8:00:00 AM,9/8/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 9:00:00 AM,9/8/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 10:00:00 AM,9/8/2024 6:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 11:00:00 AM,9/8/2024 7:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/8/2024 12:00:00 PM,9/8/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 1:00:00 PM,9/8/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 2:00:00 PM,9/8/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 3:00:00 PM,9/8/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 4:00:00 PM,9/8/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/8/2024 5:00:00 PM,9/8/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
